,year,key_skills,count
56841,2018,	Стрессоустойчивость. Уравновешенность.,2
56840,2018,	Нацеленность на результат. Умение достигать поставленные цели,2
56839,2018,	Высокий уровень обучаемости.,2
56838,2018,	Высокие коммуникативные навыки. Умение быстро устанавливать контакт с незнакомыми людьми,2
56837,2018,	Сегменты сети,1
56836,2018,	Интранет и интернет-системы,1
56835,2018,	Глобальные вычислительные сети,1
56834,2018,	Аналитические способности,1
56833,2018,	умение собирать и анализировать информацию (обязательно),1
56832,2018,	умение работать с командой,1
56831,2018,	навыки тайм менеджмента,1
56830,2018,	навык ведения базы данных,1
56829,2018,	креативность,1
56828,2018,	Умение читать чужой код,1
56827,2018,223-ФЗ,1
56826,2018, 44-ФЗ,1
82560,2019, Умение принимать решение в сложных ситуациях,2
82559,2019, Стрессоустойчивость. Уравновешенность.,2
82558,2019, Нацеленность на результат. Умение достигать поставленные цели,2
82557,2019, Высокий уровень обучаемости.,2
82556,2019, Высокие коммуникативные навыки. Умение быстро устанавливать контакт с незнакомыми людьми,2
82555,2019,	Умение принимать решение в сложных ситуациях,2
82554,2019,	Стрессоустойчивость. Уравновешенность.,2
82553,2019,	Нацеленность на результат. Умение достигать поставленные цели,2
82552,2019,	Высокий уровень обучаемости.,2
82551,2019,	Высокие коммуникативные навыки. Умение быстро устанавливать контакт с незнакомыми людьми,2
82550,2019,	умение структурировать получаемую информацию,1
82549,2019,	знать основы работы с сайтами,2
82548,2019,	владение MS Excel,1
82547,2019,	Составление принципиальных и монтажных схем для регулировки и испытания сложных и опытных образцов,2
82546,2019,	Составление макетных схем для регулирования и испытания сложных механизмов,2
82545,2019,	Составление и макетирование простых и средней сложности схем,2
82544,2019,	Руководство проектами внедрения информационных систем на базе 1С: ERP,1
82543,2019,	Наладка и испытание схем электронно-вычислительных управляющих машин,2
82542,2019,	Наладка,4
82541,2019,	Комплексные испытания электронно-вычислительной системы управления с испытательной машиной,2
108714,2020, Умение принимать решение в сложных ситуациях,3
108713,2020, Стрессоустойчивость. Уравновешенность.,3
108712,2020, Сопровождение и администрирование:  Windows Server 20122019  MSSQL сервера  Ubuntu Server 18.0,1
108711,2020, Нацеленность на результат. Умение достигать поставленные цели,3
108710,2020, Высокий уровень обучаемости.,3
108709,2020, Высокие коммуникативные навыки. Умение быстро устанавливать контакт с незнакомыми людьми,3
108708,2020,	Умение принимать решение в сложных ситуациях,1
108707,2020,	Стрессоустойчивость. Уравновешенность.,1
108706,2020,	Нацеленность на результат. Умение достигать поставленные цели,1
108705,2020,	Высокий уровень обучаемости.,1
108704,2020,	Высокие коммуникативные навыки. Умение быстро устанавливать контакт с незнакомыми людьми,1
108703,2020, умение ориентироваться в потоке информации,1
108702,2020, навыки по сбору и систематизации актуальной информации,1
108701,2020, коммуникативные способности,1
108700,2020, высокий уровень исполнительской дисциплины и ответственности,1
108699,2020, Аналитические способности ответственность самоорганизация 1С программирование,1
108698,2020, Тестирование программного обеспечения,2
108697,2020, Документирование тестирования,2
108696,2020, TCPIP  CCTV  СКУД  LinuxWindows,2
108695,2020, QA  Тестировщик  Функциональное тестирование  Интеграционное тестирование,2
144933,2021, Знание современных методик разработки образовательных программ с применением дистанционных техноло,1
144932,2021, Знание инновационных технологий обучения информатики,1
144931,2021, умение работать с системами управления версиями Git,1
144930,2021, умение работать с принципиальными электрическими схемами,1
144929,2021, умение работать в среде Matlab Simulink,1
144928,2021, знание основ цифровой обработки данных,1
144927,2021, Теоретические и практические принципы обработки информации.,1
144926,2021, Порядок заключения и исполнения хозяйственных и финансовых договоров.,1
144925,2021, Аналитические способности ответственность самоорганизация 1С программирование,3
144924,2021, Администрирование доменной сети (AD,2
144923,2021,44-фз,2
144922,2021,44-ФЗ,2
144921,2021,223-фз,2
144920,2021,223-ФЗ,2
144919,2021,Умение систематизировать и анализировать информацию.,1
144918,2021,Опыт работы с ethereum mem pool.,1
144917,2021, умение составлять SQL-запросы и работать с БД,1
144916,2021, умение работать в команде,6
144915,2021, умение работать в коллективе,1
144914,2021, умение настраивать почтовые системы,1
184176,2022, Навыки работы: - Владение программами Adobe Photoshop,1
184175,2022, Умение планировать и организовывать свой рабочий день,1
184174,2022, Техническая смекалка,1
184173,2022, Работа с техническими документами  чтение,1
184172,2022, Понимание принципов управления,1
184171,2022, Планирование рисков и разработка (понимание) схем работы IT-структуры,1
184170,2022, Навыки ведения переговоров,1
184169,2022, Стрессоустойчивость,1
184168,2022, Сопровождение и администрирование:  Windows Server 20122019  MSSQL сервера  Ubuntu Server 18.0,1
184167,2022, умение проводить презентации и инструктаж по работе в ИС,1
184166,2022, Чтение,3
184165,2022, Умение разрабатывать и реализовывать стратегии продвижения в соответствии с задачами и профилем ко,1
184164,2022, Умение работать в команде в режиме многозадачности,1
184163,2022, Умение вести деловую переписку и переговоры,1
184162,2022, Уверенное пользование пакетом Microsoft Office,1
184161,2022, Теоретические и практические принципы обработки информации.,1
184160,2022, Самоорганизация,1
184159,2022, Порядок заключения и исполнения хозяйственных и финансовых договоров.,1
184158,2022, Опыт работы на аналогичной позиции,1
184157,2022, Навыки работы с документацией (коммерческие предложения,1
218603,2023, порядок организации работ по учету,2
218602,2023, Разработка и рефакторинг кода,1
218601,2023, Знание редакторов для проектирования приветствуется,3
218600,2023, Знание графических редакторов,3
218599,2023, Знание СС,1
218598,2023,有机分析,1
218597,2023,无机分析,1
218596,2023,仪器管理,1
218595,2023, Настраивать операционные системы,1
218594,2023, Vue js,1
218593,2023, REST API,1
218592,2023, Docker,1
218591,2023,Установка,2
218590,2023,умение работать с управляемыми и обычными формами знание конфигураций ЗУП 3.1,5
218589,2023,Создание новых отчетов,1
218588,2023, хорошие коммуникативные навыки,1
218587,2023, хорошее владение пакетом MS Office,1
218586,2023, умение читать чертежи,1
218585,2023, умение работать в команде,1
218584,2023, умение обрабатывать большой объем информации,1
245542,2024, навыки обеспечения выполнения поставленных задач  аналитический склад ума  грамотная устная и,1
245541,2024,Proficiency in using technological appliances,2
245540,2024, Управление проектами,1
245539,2024, MS Project,1
245538,2024, MS Power Point,1
245537,2024, Business Studio,1
245536,2024, Проектирование системы,4
245535,2024,работа с большим объемом информации,2
245534,2024, умение читать и разбирать статьи о новых архитектурах и подходах,1
245533,2024, регистрировать и расследовать инциденты безопасности,1
245532,2024, расширенные знания об основных классах уязвимостей ИБ и их эксплуатации,1
245531,2024, проводить оценку рисков,1
245530,2024, понимание характеристик признаков вредоносного программного обеспечения (далее  ПО),1
245529,2024, понимание принципов обучения,1
245528,2024, положения НПА Методические документы России,1
245527,2024, мониторинг и анализ событий безопасности для своевременного обнаружения инцидентов безопасности и,1
245526,2024, использование методов и средств получения,2
245525,2024, выявлять и анализировать уязвимости в индустри-альной сети,1
245524,2024, владение Python и основными ML-библиотеками,1
245523,2024, владение Pandas,1
